"","alg","tune","var","lag","val","sd"
"224","MHS","tuned","x1",60,0.469826490755309,0.207069115656485
"225","HMC","~tuned","x10",60,-0.0059276042099144,0.028468393675888
"226","MHS","~tuned","x10",60,0.40917020305967,0.196480873279931
"227","HMC","tuned","x10",60,0.00127044620559656,0.34418509083814
"228","MHS","tuned","x10",60,0.576816317833451,0.0874198211302251
"229","HMC","~tuned","x11",60,-0.0227102614179679,0.0345460955841191
"230","MHS","~tuned","x11",60,0.398869647174249,0.178278219795428
"231","HMC","tuned","x11",60,0.00602257576773281,0.107666151912743
"232","MHS","tuned","x11",60,0.534944484120091,0.142740021047076
"233","HMC","~tuned","x2",60,0.00863605410631819,0.0250884600510006
"234","MHS","~tuned","x2",60,0.462461198950002,0.164140971492849
"235","HMC","tuned","x2",60,0.0055916928843676,0.0335547105590239
"236","MHS","tuned","x2",60,0.370352512145691,0.346578465765156
"237","HMC","~tuned","x3",60,-0.00647830904635091,0.0309152981823523
"238","MHS","~tuned","x3",60,0.545565877767581,0.0916408055483624
"239","HMC","tuned","x3",60,0.0016350737578856,0.398026063878522
"240","MHS","tuned","x3",60,0.581867538814087,0.156002209902224
"241","HMC","~tuned","x4",60,-0.000964932033765274,0.0210957701810194
"242","MHS","~tuned","x4",60,0.428749193413008,0.237714143260742
"243","HMC","tuned","x4",60,0.00348083312559429,0.164882029109056
"244","MHS","tuned","x4",60,0.492349649091561,0.113016706798092
"245","HMC","~tuned","x5",60,-0.0154067772607838,0.0551637503852091
"246","MHS","~tuned","x5",60,0.477977522648399,0.207170014366585
"247","HMC","tuned","x5",60,-0.00298371856875243,0.198315292572153
"248","MHS","tuned","x5",60,0.621277682249957,0.0989995500987894
"249","HMC","~tuned","x6",60,-0.00569561571684431,0.0229813816876689
"250","MHS","~tuned","x6",60,0.4434642748516,0.0679213497661118
"251","HMC","tuned","x6",60,0.00666268061333447,0.0604441366514216
"252","MHS","tuned","x6",60,0.677303170537052,0.158673026055479
"253","HMC","~tuned","x7",60,0.00485767669723331,0.0237022769330267
"254","MHS","~tuned","x7",60,0.322228015176579,0.25903985876582
"255","HMC","tuned","x7",60,0.00356477425049355,0.178777330628165
"256","MHS","tuned","x7",60,0.55971576005618,0.0699044869845425
"257","HMC","~tuned","x8",60,6.44796277164072e-05,0.0316754013545874
"258","MHS","~tuned","x8",60,0.539088386798673,0.144739665128167
"259","HMC","tuned","x8",60,0.00279597346557566,0.294055362624288
"260","MHS","tuned","x8",60,0.546035418425399,0.29131480113596
"261","HMC","~tuned","x9",60,-0.005622253044067,0.0253408591788666
"262","MHS","~tuned","x9",60,0.300371461133313,0.124421596225325
"263","HMC","tuned","x9",60,0.00368844543778625,0.21117051479157
"264","MHS","tuned","x9",60,0.470928982181219,0.175368067918345
"265","HMC","~tuned","x1",70,-0.00038259369813926,0.0168928686028059
"266","MHS","~tuned","x1",70,0.527355687794974,0.112821608945237
"267","HMC","tuned","x1",70,0.00595293064657092,0.0233493961649424
"268","MHS","tuned","x1",70,0.406734322138755,0.241395821428435
"269","HMC","~tuned","x10",70,-0.00725244457943727,0.0278134788623367
"270","MHS","~tuned","x10",70,0.349565882496652,0.200855353044164
"271","HMC","tuned","x10",70,0.000567153416731606,0.339474576569781
"272","MHS","tuned","x10",70,0.520562288835302,0.113391614322344
"273","HMC","~tuned","x11",70,-0.0233331409971128,0.0240996201261926
"274","MHS","~tuned","x11",70,0.351192829165729,0.1534272438173
"275","HMC","tuned","x11",70,0.00426938387872799,0.0927528505606449
"276","MHS","tuned","x11",70,0.475540742194578,0.158408982168823
"277","HMC","~tuned","x2",70,9.16314274168158e-05,0.0240011154734493
"278","MHS","~tuned","x2",70,0.415850298837912,0.15440361341676
"279","HMC","tuned","x2",70,0.0128832807959508,0.0410908999374037
"280","MHS","tuned","x2",70,0.332739965180055,0.345228973921243
"281","HMC","~tuned","x3",70,0.00159996403536933,0.0268623987337685
"282","MHS","~tuned","x3",70,0.490422907080051,0.101613714657934
"283","HMC","tuned","x3",70,0.00421393430120616,0.383817700277414
"284","MHS","tuned","x3",70,0.533517651760817,0.150695026874882
"285","HMC","~tuned","x4",70,0.00216691313542976,0.0245130862237649
"286","MHS","~tuned","x4",70,0.382376442367837,0.224549091305272
"287","HMC","tuned","x4",70,0.011992747383333,0.163302578096561
"288","MHS","tuned","x4",70,0.444033056134231,0.110290526526392
"289","HMC","~tuned","x5",70,-0.0144452546260664,0.0464814001865675
"290","MHS","~tuned","x5",70,0.446294498551791,0.185448333408133
"291","HMC","tuned","x5",70,0.00165954581470685,0.191271618914668
